Variable,Description,Position
Q_17,"Label: D-Qual destas alternativas descreve melhor a sua ocupação atual?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Trabalha em casa para uma Empresa
2,Trabalha fora meio período para uma Empresa
3,Trabalha fora período integral para uma Empresa
4,Profissional liberal/negócio próprio
5,Autonômo
6,Funcionário público
7,Tem outras fontes: rendimentos/aplicações
8,Tem outras fontes: aposentadoria
9,Tem outras fontes: recebo doações
10,Tem outras fontes: mesada/pensão
12,""Não está trabalhando, 06 meses ou mais""
13,Outro (especifique):
99,""Não está trabalhando atualmente, menos de 06 meses""",18
Q_17_S,"Label: D-Qual destas alternativas descreve melhor a sua ocupação atual? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 13",19
estado_civil,"Label: E - Qual é o seu estado civil?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Casado / Vive junto
2,Separado / Divorciado
3,Viúvo
4,Solteiro
5,NR",20
Q_19,"Label: F - De uma maneira geral, o(a) Sr(a) é uma pessoa que tem... (LEIA OPÇÕES)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Muito interesse por política em geral
2,Algum interesse por política
3,Pouco interesse por política
4,Nenhum interesse por política em geral",21
Q_20,"Label: 1.De maneira geral, como o(a) Sr(a) avalia a situação de Campo Grande? Atualmente a cidade de Campo Grande está... ótima, boa, regular, ruim ou péssima? Se regular, positiva ou negativa?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ótima
2,Boa
3,Regular positiva
4,Regular negativa
5,Ruim
6,Péssima
99,NS/NR",22
Q_21,"Label: VAMOS FALAR DE ELEIÇÕES PARA PREFEITO DE CAMPO GRANDE....  2. Se as eleições para Prefeito de Campo Grande fossem realizadas hoje, em quem o(a) Sr(a) votaria? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Anote nome citado:
2,NS/Indeciso
3,NR
4,Nenhum",23
Q_21_S,"Label: VAMOS FALAR DE ELEIÇÕES PARA PREFEITO DE CAMPO GRANDE....  2. Se as eleições para Prefeito de Campo Grande fossem realizadas hoje, em quem o(a) Sr(a) votaria?  [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 22",24
Q_22,"Label: 3. Agora, vou te mostrar uma série de situações que podem acontecer nas eleições para Prefeito que vão ocorrer esse ano, em termos de candidatos. Gostaria que o(a) Sr(a) avaliasse cada situação.  3. 1. Se os candidatos fossem esses, em quem votaria? APRESE
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 18
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",25
Q_23,"Label: 3.1. Por que votaria no (REPETIR RESPOSTA DA PERGUNTA 3.1.) para prefeito de Campo Grande? 
Format: A50
Measure: Nominal
Display Width: 11",26
Q_24,"Label: 3.1.1. E se o (REPETIR RESPOSTA DA PERGUNTA 3.1.)  não for candidato, em quem votaria? (DISCO 01) 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 14
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",27
Q_25,"Label: 3.3. E se fossem estes? (APRESENTE DISCO 02)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Professor Sidney - PSOL
6,Suel Ferrante - PSTU
7,Marcelo Bluma - PV
8,Alex do PT - PT
9,Indeciso/NS
10,NR
11,Nenhum",28
Q_26,"Label: 3.3. E se fossem estes? (APRESENTE DISCO 03)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Indeciso/NS
5,NR
6,Nenhum",29
Q_27,"Label: 3.4. E se fossem estes? (APRESENTE O DISCO 04)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Indeciso/NS
4,NR
5,Nenhum",30
Q_28,"Label: 3.5. E se fossem esses? (APRESENTE O DISCO 05)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Alcides Bernal - PP
3,Indeciso/NS
4,NR
5,Nenhum",31
Q_29,"Label: 3.6. E se fossem esses? (APRESENTE DISCO 06)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Marquinhos Trad - PSD
2,Alcides Bernal - PP
3,Indeciso/NS
4,NR
5,Nenhum",32
Q_30,"Label: 4. O(a) Sr(a)  ainda pode mudar sua escolha?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""Sim, poderia ainda mudar""
2,""Não, já está totalmente certo de sua escolha""
3,NS
4,NR",33
Q_31,"Label: 5. Agora, gostaria que o(a) Sr(a) avaliasse e me dissesse em quem o(a) Sr(a) NÃO VOTARIA DE JEITO NENHUM para Prefeito de Campo Grande. 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Todos",34
Q_32,"Label: 5.1.  Por que o(a) Sr(a) NÃO VOTARIA no (REPETIR RESPOSTA DA P.5)?
Format: A50
Measure: Nominal
Display Width: 50",35
T_33_1,"Label: Rose Modesto - PSDB
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",36
T_33_2,"Label: Marquinhos Trad - PSD
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",37
T_33_3,"Label: Alcides Bernal - PP
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",38
T_33_4,"Label: Athayde Nery - PPS
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",39
T_33_5,"Label: Coronel David - PSC
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",40
T_33_6,"Label: Professor Sidney - PSOL
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",41
T_33_7,"Label: Suel Ferrante - PSTU
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",42
T_33_8,"Label: Marcelo Bluma - PV
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",43
T_33_9,"Label: Dagoberto Nogueira - PDT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",44
T_33_10,"Label: Alex do PT - PT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",45
T_34_1,"Label: Rose Modesto - PSDB
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",46
T_34_2,"Label: Marquinhos Trad - PSD
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",47
T_34_3,"Label: Alcides Bernal - PP
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",48
T_34_4,"Label: Athayde Nery - PPS
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",49
T_34_5,"Label: Coronel David - PSC
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",50
T_34_6,"Label: Professor Sidney - PSOL
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",51
T_34_7,"Label: Suel Ferrante - PSTU
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",52
T_34_8,"Label: Marcelo Bluma - PV
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",53
T_34_9,"Label: Dagoberto Nogueira - PDT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",54
T_34_10,"Label: Alex do PT - PT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Votaria com certeza
2,Poderia votar
4,""Não votaria, com certeza""
5,NS/NR
99,Possivelmente não votaria",55
Q_35,"Label: Agora vamos avaliar como o(a) Sr(a) vai escolher seu candidato à PREFEITO DE CAMPO GRANDE...  8. Na hora de o(a) Sr(a) escolher um candidato a PREFEITO, QUAL dessas qualidades (LER OPÇÕES) é a mais importantes, que ele deve ter para merecer seu voto em 1º 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ser honesto/não ser corrupto
2,""Ter capacidade administrativa, saber governar""
3,Ter apoios políticos
4,Ter experiência administrativa
5,Ser próximo do povo
6,Ser trabalhador
7,Cumprir o que promete
8,Ser competente / competência
9,Outro (especifique):
10,NS/NR",56
Q_35_S,"Label: Agora vamos avaliar como o(a) Sr(a) vai escolher seu candidato à PREFEITO DE CAMPO GRANDE...  8. Na hora de o(a) Sr(a) escolher um candidato a PREFEITO, QUAL dessas qualidades (LER OPÇÕES) é a mais importantes, que ele deve ter para merecer seu voto em 1º 
Format: A50
Measure: Nominal
Display Width: 50",57
T_36_1,"Label: Rose Modesto - PSDB
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",58
T_36_2,"Label: Marquinhos Trad - PSD
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",59
T_36_3,"Label: Alcides Bernal - PP
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",60
T_36_4,"Label: Athayde Nery - PPS
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",61
T_36_5,"Label: Coronel David - PSC
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",62
T_36_6,"Label: Professor Sidney - PSOL
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",63
T_36_7,"Label: Suel Ferrante - PSTU
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",64
T_36_8,"Label: Marcelo Bluma - PV
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",65
T_36_9,"Label: Dagoberto Nogueira - PDT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",66
T_36_10,"Label: Alex do PT - PT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Possui
2,Não possui
3,NS/NR",67
T_37_1,"Label: O mais honesto?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",68
T_37_2,"Label: O mais próximo do povo?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",69
T_37_3,"Label: O mais competente?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",70
T_37_4,"Label: O mais trabalhador?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",71
T_37_5,"Label: O que tem mais experiência/experiente?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",72
T_37_6,"Label: O que mais vai cumprir suas promessas?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",73
Q_38,"Label: 11. Se pudesse escolher, o(a) Sr(a) preferiria que o próximo Prefeito de Campo Grande fosse um homem ou uma mulher?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Homem
2,Mulher
3,""Tanto faz, não é relevante.""
4,NS/NR",74
Q_39,"Label: 12. Aqui estão alguns problemas que as cidades têm enfrentado atualmente. Pensando em Campo Grande, qual é o problema mais grave, que o próximo prefeito deve cuidar em 1º lugar? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Saúde
2,Segurança
3,Educação
4,Emprego
5,Situação das ruas (buracos)
6,Limpeza urbana
7,Habitação
8,Falta de creches
9,Iluminação pública
10,Transporte público
11,Saneamento básico/Falta de esgoto
12,Pobreza
13,Gestão/Administração da Prefeitura
14,Outro. Qual? (descreva):
15,NS/NR",75
Q_39_S,"Label: 12. Aqui estão alguns problemas que as cidades têm enfrentado atualmente. Pensando em Campo Grande, qual é o problema mais grave, que o próximo prefeito deve cuidar em 1º lugar?  [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 10",76
Q_40,"Label: 12.1. Na sua opinião, qual desses candidatos (MOSTRE DISCO 01) a prefeito tem mais condições de resolver este problema (CITE RESPOSTA DA P12)?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",77
Q_41,"Label: 13. E qual problema o próximo prefeito deveria cuidar, em 2º lugar?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Saúde
2,Segurança
3,Educação
4,Emprego
5,Situação das ruas (buracos)
6,Limpeza urbana
7,Habitação
8,Falta de creches
9,Iluminação pública
10,Transporte público
11,Saneamento básico/Falta de esgoto
12,Pobreza
13,Gestão/Administração da Prefeitura
14,Outro. Qual? (descreva):
15,NS/NR",78
Q_41_S,"Label: 13. E qual problema o próximo prefeito deveria cuidar, em 2º lugar? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 11",79
Q_42,"Label: 13.1. Na sua opinião, qual desses candidatos (MOSTRE DISCO 01) a prefeito tem mais condições de resolver este problema (CITE RESPOSTA DA P13)?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",80
Q_43,"Label: 14. E qual problema o próximo prefeito deveria cuidar, em 3º lugar?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Saúde
2,Segurança
3,Educação
4,Emprego
5,Situação das ruas (buracos)
6,Limpeza urbana
7,Habitação
8,Falta de creches
9,Iluminação pública
10,Transporte público
11,Saneamento básico/Falta de esgoto
12,Pobreza
13,Gestão/Administração da Prefeitura
14,Outro. Qual? (descreva):
15,NS/NR",81
Q_43_S,"Label: 14. E qual problema o próximo prefeito deveria cuidar, em 3º lugar? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 10",82
Q_44,"Label: 14.1. Na sua opinião, qual desses candidatos (MOSTRE DISCO 01) a prefeito tem mais condições de resolver este problema (CITE RESPOSTA DA P14)?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",83
Q_45,"Label: 15. Na sua opinião, o Prefeito Alcides Bernal está fazendo uma administração: ótima, boa, regular, ruim ou péssima?  Se regular, positiva ou negativa?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ótimo
2,Bom
3,Regular positivo
4,Regular negativo
5,Ruim
6,Péssimo
99,NS/NR",84
